#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|Forderung|KAT1MoralisierendesSegment|KAT2Subjektive_Ausdrcke|KAT5Ausformulierung|KOMMENTAR|KommunikativeFunktion|Moralwerte|Protagonistinnen|Protagonistinnen2|Protagonistinnen3


#Text=T07/JUL.02661 die tageszeitung, 18.07.2007, S. 18; "Dann kann man die KMK auflösen" ### Das kommt auf das Stück an. Den Beteiligten ist die Situation klar. ### Ich zitiere mal einen Kollegen: „Wenn ich mir die Entscheidungswege der Kultusministerkonferenz anschaue, dann könnte ich manchmal entweder zum Separatisten oder zum Zentralisten werden.” Den Satz kann ich als Mahnung, unsere #Verantwortung# wahrzunehmen, unterschreiben. ###
1-1	752-755	T07	_	_	_	_	_	_	_	_	_	_	
1-2	755-756	/	_	_	_	_	_	_	_	_	_	_	
1-3	756-759	JUL	_	_	_	_	_	_	_	_	_	_	
1-4	759-765	.02661	_	_	_	_	_	_	_	_	_	_	
1-5	766-769	die	_	_	_	_	_	_	_	_	_	_	
1-6	770-782	tageszeitung	_	_	_	_	_	_	_	_	_	_	
1-7	782-783	,	_	_	_	_	_	_	_	_	_	_	
1-8	784-794	18.07.2007	_	_	_	_	_	_	_	_	_	_	
1-9	794-795	,	_	_	_	_	_	_	_	_	_	_	
1-10	796-797	S	_	_	_	_	_	_	_	_	_	_	
1-11	797-798	.	_	_	_	_	_	_	_	_	_	_	
1-12	799-801	18	_	_	_	_	_	_	_	_	_	_	
1-13	801-802	;	_	_	_	_	_	_	_	_	_	_	
1-14	803-804	"	_	_	_	_	_	_	_	_	_	_	
1-15	804-808	Dann	_	_	_	_	_	_	_	_	_	_	
1-16	809-813	kann	_	_	_	_	_	_	_	_	_	_	
1-17	814-817	man	_	_	_	_	_	_	_	_	_	_	
1-18	818-821	die	_	_	_	_	_	_	_	_	_	_	
1-19	822-825	KMK	_	_	_	_	_	_	_	_	_	_	
1-20	826-834	auflösen	_	_	_	_	_	_	_	_	_	_	
1-21	834-835	"	_	_	_	_	_	_	_	_	_	_	
1-22	836-837	#	_	_	_	_	_	_	_	_	_	_	
1-23	837-838	#	_	_	_	_	_	_	_	_	_	_	
1-24	838-839	#	_	_	_	_	_	_	_	_	_	_	
1-25	840-843	Das	_	_	_	_	_	_	_	_	_	_	
1-26	844-849	kommt	_	_	_	_	_	_	_	_	_	_	
1-27	850-853	auf	_	_	_	_	_	_	_	_	_	_	
1-28	854-857	das	_	_	_	_	_	_	_	_	_	_	
1-29	858-863	Stück	_	_	_	_	_	_	_	_	_	_	
1-30	864-866	an	_	_	_	_	_	_	_	_	_	_	
1-31	866-867	.	_	_	_	_	_	_	_	_	_	_	
1-32	868-871	Den	_	_	_	_	_	_	_	_	_	_	
1-33	872-883	Beteiligten	_	_	_	_	_	_	_	_	_	_	
1-34	884-887	ist	_	_	_	_	_	_	_	_	_	_	
1-35	888-891	die	_	_	_	_	_	_	_	_	_	_	
1-36	892-901	Situation	_	_	_	_	_	_	_	_	_	_	
1-37	902-906	klar	_	_	_	_	_	_	_	_	_	_	
1-38	906-907	.	_	_	_	_	_	_	_	_	_	_	
1-39	908-909	#	_	_	_	_	_	_	_	_	_	_	
1-40	909-910	#	_	_	_	_	_	_	_	_	_	_	
1-41	910-911	#	_	_	_	_	_	_	_	_	_	_	
1-42	912-915	Ich	_	_	_	_	_	_	_	_	_	_	
1-43	916-923	zitiere	_	_	_	_	_	_	_	_	_	_	
1-44	924-927	mal	_	_	_	_	_	_	_	_	_	_	
1-45	928-933	einen	_	_	_	_	_	_	_	_	_	_	
1-46	934-942	Kollegen	_	_	_	_	_	_	_	_	_	_	
1-47	942-943	:	_	_	_	_	_	_	_	_	_	_	
1-48	944-945	„	_	_	_	_	_	_	_	_	_	_	
1-49	945-949	Wenn	_	_	_	_	_	_	_	_	_	_	
1-50	950-953	ich	_	_	_	_	_	_	_	_	_	_	
1-51	954-957	mir	_	_	_	_	_	_	_	_	_	_	
1-52	958-961	die	_	_	_	_	_	_	_	_	_	_	
1-53	962-979	Entscheidungswege	_	_	_	_	_	_	_	_	_	_	
1-54	980-983	der	_	_	_	_	_	_	_	_	_	_	
1-55	984-1007	Kultusministerkonferenz	_	_	_	_	_	_	_	_	_	_	
1-56	1008-1016	anschaue	_	_	_	_	_	_	_	_	_	_	
1-57	1016-1017	,	_	_	_	_	_	_	_	_	_	_	
1-58	1018-1022	dann	_	_	_	_	_	_	_	_	_	_	
1-59	1023-1029	könnte	_	_	_	_	_	_	_	_	_	_	
1-60	1030-1033	ich	_	_	_	_	_	_	_	_	_	_	
1-61	1034-1042	manchmal	_	_	_	_	_	_	_	_	_	_	
1-62	1043-1051	entweder	_	_	_	_	_	_	_	_	_	_	
1-63	1052-1055	zum	_	_	_	_	_	_	_	_	_	_	
1-64	1056-1068	Separatisten	_	_	_	_	_	_	_	_	_	_	
1-65	1069-1073	oder	_	_	_	_	_	_	_	_	_	_	
1-66	1074-1077	zum	_	_	_	_	_	_	_	_	_	_	
1-67	1078-1090	Zentralisten	_	_	_	_	_	_	_	_	_	_	
1-68	1091-1097	werden	_	_	_	_	_	_	_	_	_	_	
1-69	1097-1098	.	_	_	_	_	_	_	_	_	_	_	
1-70	1098-1099	”	_	_	_	_	_	_	_	_	_	_	
1-71	1100-1103	Den	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-72	1104-1108	Satz	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-73	1109-1113	kann	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-74	1114-1117	ich	*[1]|*[2]	Moralisierung explizit[1]|*[2]	*[1]|*[2]	Die KMK muss ihre Veratworung wahrnehmen.[1]|*[2]	*[1]|*[2]	Appell[1]|*[2]	*[1]|*[2]	*[1]|Adresassat:in[2]	*[1]|Individuum[2]	*[1]|Own Group[2]	
1-75	1118-1121	als	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-76	1122-1129	Mahnung	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-77	1129-1130	,	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-78	1131-1137	unsere	*[1]|*[3]|*[4]|*[5]	Moralisierung explizit[1]|*[3]|*[4]|*[5]	*[1]|*[3]|*[4]|*[5]	Die KMK muss ihre Veratworung wahrnehmen.[1]|*[3]|*[4]|*[5]	*[1]|*[3]|*[4]|*[5]	Appell[1]|*[3]|*[4]|*[5]	*[1]|Care[3]|*[4]|*[5]	*[1]|*[3]|Adresassat:in[4]|Forderer:in[5]	*[1]|*[3]|Institution[4]|*[5]	*[1]|*[3]|Own Group[4]|*[5]	
1-79	1138-1139	#	*[1]|*[3]	Moralisierung explizit[1]|*[3]	*[1]|*[3]	Die KMK muss ihre Veratworung wahrnehmen.[1]|*[3]	*[1]|*[3]	Appell[1]|*[3]	*[1]|Care[3]	*[1]|*[3]	*[1]|*[3]	*[1]|*[3]	
1-80	1139-1152	Verantwortung	*[1]|*[3]	Moralisierung explizit[1]|*[3]	*[1]|*[3]	Die KMK muss ihre Veratworung wahrnehmen.[1]|*[3]	*[1]|*[3]	Appell[1]|*[3]	*[1]|Care[3]	*[1]|*[3]	*[1]|*[3]	*[1]|*[3]	
1-81	1152-1153	#	*[1]|*[3]	Moralisierung explizit[1]|*[3]	*[1]|*[3]	Die KMK muss ihre Veratworung wahrnehmen.[1]|*[3]	*[1]|*[3]	Appell[1]|*[3]	*[1]|Care[3]	*[1]|*[3]	*[1]|*[3]	*[1]|*[3]	
1-82	1154-1166	wahrzunehmen	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-83	1166-1167	,	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-84	1168-1182	unterschreiben	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-85	1182-1183	.	*[1]	Moralisierung explizit[1]	*[1]	Die KMK muss ihre Veratworung wahrnehmen.[1]	*[1]	Appell[1]	*[1]	*[1]	*[1]	*[1]	
1-86	1184-1185	#	_	_	_	_	_	_	_	_	_	_	
1-87	1185-1186	#	_	_	_	_	_	_	_	_	_	_	
1-88	1186-1187	#	_	_	_	_	_	_	_	_	_	_	

#Text=T07/JUL.02677 die tageszeitung, 18.07.2007, S. 24; "Der Druck wird immer größer" ### Das stimmt, aber es geht erst einmal darum, wie sie es den Eltern sagen. ### Wir üben aber auch, wie sie die #Unterstützung# einfordern können, die sie brauchen, um ihre Leistungen zu verbessern. ### Das wollen viele nämlich, aber sie trauen sich nicht zu sagen, dass sie Hilfe brauchen. Viele Eltern kümmern sich nämlich das ganze Jahr nicht um die Schule und interessieren sich nur für das Zeugnis.
2-1	1890-1893	T07	_	_	_	_	_	_	_	_	_	_	
2-2	1893-1894	/	_	_	_	_	_	_	_	_	_	_	
2-3	1894-1897	JUL	_	_	_	_	_	_	_	_	_	_	
2-4	1897-1903	.02677	_	_	_	_	_	_	_	_	_	_	
2-5	1904-1907	die	_	_	_	_	_	_	_	_	_	_	
2-6	1908-1920	tageszeitung	_	_	_	_	_	_	_	_	_	_	
2-7	1920-1921	,	_	_	_	_	_	_	_	_	_	_	
2-8	1922-1932	18.07.2007	_	_	_	_	_	_	_	_	_	_	
2-9	1932-1933	,	_	_	_	_	_	_	_	_	_	_	
2-10	1934-1935	S	_	_	_	_	_	_	_	_	_	_	
2-11	1935-1936	.	_	_	_	_	_	_	_	_	_	_	
2-12	1937-1939	24	_	_	_	_	_	_	_	_	_	_	
2-13	1939-1940	;	_	_	_	_	_	_	_	_	_	_	
2-14	1941-1942	"	_	_	_	_	_	_	_	_	_	_	
2-15	1942-1945	Der	_	_	_	_	_	_	_	_	_	_	
2-16	1946-1951	Druck	_	_	_	_	_	_	_	_	_	_	
2-17	1952-1956	wird	_	_	_	_	_	_	_	_	_	_	
2-18	1957-1962	immer	_	_	_	_	_	_	_	_	_	_	
2-19	1963-1969	größer	_	_	_	_	_	_	_	_	_	_	
2-20	1969-1970	"	_	_	_	_	_	_	_	_	_	_	
2-21	1971-1972	#	_	_	_	_	_	_	_	_	_	_	
2-22	1972-1973	#	_	_	_	_	_	_	_	_	_	_	
2-23	1973-1974	#	_	_	_	_	_	_	_	_	_	_	
2-24	1975-1978	Das	_	_	_	_	_	_	_	_	_	_	
2-25	1979-1985	stimmt	_	_	_	_	_	_	_	_	_	_	
2-26	1985-1986	,	_	_	_	_	_	_	_	_	_	_	
2-27	1987-1991	aber	_	_	_	_	_	_	_	_	_	_	
2-28	1992-1994	es	_	_	_	_	_	_	_	_	_	_	
2-29	1995-1999	geht	_	_	_	_	_	_	_	_	_	_	
2-30	2000-2004	erst	_	_	_	_	_	_	_	_	_	_	
2-31	2005-2011	einmal	_	_	_	_	_	_	_	_	_	_	
2-32	2012-2017	darum	_	_	_	_	_	_	_	_	_	_	
2-33	2017-2018	,	_	_	_	_	_	_	_	_	_	_	
2-34	2019-2022	wie	_	_	_	_	_	_	_	_	_	_	
2-35	2023-2026	sie	_	_	_	_	_	_	_	_	_	_	
2-36	2027-2029	es	_	_	_	_	_	_	_	_	_	_	
2-37	2030-2033	den	_	_	_	_	_	_	_	_	_	_	
2-38	2034-2040	Eltern	_	_	_	_	_	_	_	_	_	_	
2-39	2041-2046	sagen	_	_	_	_	_	_	_	_	_	_	
2-40	2046-2047	.	_	_	_	_	_	_	_	_	_	_	
2-41	2048-2049	#	_	_	_	_	_	_	_	_	_	_	
2-42	2049-2050	#	_	_	_	_	_	_	_	_	_	_	
2-43	2050-2051	#	_	_	_	_	_	_	_	_	_	_	
2-44	2052-2055	Wir	*[6]|*[7]	Moralisierung interpretativ[6]|*[7]	*[6]|*[7]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]|*[7]	*[6]|*[7]	Darstellung[6]|*[7]	*[6]|*[7]	*[6]|Forderer:in[7]	*[6]|Institution[7]	*[6]|Own Group[7]	
2-45	2056-2060	üben	*[6]	Moralisierung interpretativ[6]	*[6]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]	*[6]	Darstellung[6]	*[6]	*[6]	*[6]	*[6]	
2-46	2061-2065	aber	*[6]	Moralisierung interpretativ[6]	*[6]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]	*[6]	Darstellung[6]	*[6]	*[6]	*[6]	*[6]	
2-47	2066-2070	auch	*[6]	Moralisierung interpretativ[6]	*[6]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]	*[6]	Darstellung[6]	*[6]	*[6]	*[6]	*[6]	
2-48	2070-2071	,	*[6]	Moralisierung interpretativ[6]	*[6]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]	*[6]	Darstellung[6]	*[6]	*[6]	*[6]	*[6]	
2-49	2072-2075	wie	*[6]	Moralisierung interpretativ[6]	*[6]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]	*[6]	Darstellung[6]	*[6]	*[6]	*[6]	*[6]	
2-50	2076-2079	sie	*[6]|*[8]	Moralisierung interpretativ[6]|*[8]	*[6]|*[8]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]|*[8]	*[6]|*[8]	Darstellung[6]|*[8]	*[6]|*[8]	*[6]|Benefizient:in[8]	*[6]|soziale Gruppe[8]	*[6]|Other Group[8]	
2-51	2080-2083	die	*[6]|*[9]	Moralisierung interpretativ[6]|*[9]	*[6]|*[9]	Kinder müssen Unterstützung bei ihren Eltern  einfordern können![6]|*[9]	*[6]|*[9]	Darstellung[6]|*[9]	*[6]|Care[9]	*[6]|*[9]	*[6]|*[9]	*[6]|*[9]	
